
/begin_header
/missing=-999
/delimiter=space
!
! Water absorption and scattering coefficients
! 200nm - 2450nm
!
! Absorption coefficients were derived from Pope and Fry and Kou et. al.,
!
! Scattering coefficients were derived from Zhang et al. (2009)
! using a temperature of 20 degrees C and a salinity of 38.4 g/kg
!
!       Pope, R. M. and E. S. Fry, 1997, "Absorption spectrum (380-700 nm) of
!               pure water. II. Integrating cavity measurements,"
!               Appl. Opt.,36, 8710-8723.
!
!       Kou, L., D. Labrie, P. Chylek, 1993, "Refractive indices of water and
!               ice in the 0.65-2.5 m spectral range,"
!               Appl. Opt.,32, 3531-3540.
!
!	Zhang, X., L. Hu, and M-X. He, 2009, "Scattering by pure seawater:
		Effect of salinity,"
		Opt. Express 17, 5698-5710.
!
! NOTE: for backscatter, we use 0.5*bw
!
/fields=wavelength,aw,bw
/units=nm,m^-1,m^-1
/end_header
219.7 1.33040 0.110872
219.8 1.32360 0.110603
219.9 1.31680 0.110335
220.0 1.31000 0.110068
220.1 1.30617 0.109802
220.2 1.30234 0.109537
220.3 1.29851 0.109272
220.4 1.29468 0.109009
220.5 1.29085 0.108746
220.6 1.28702 0.108484
220.7 1.28319 0.108223
220.8 1.27936 0.107963
220.9 1.27553 0.107703
221.0 1.27170 0.107444
221.1 1.26787 0.107187
221.2 1.26404 0.106930
221.3 1.26021 0.106673
221.4 1.25638 0.106418
221.5 1.25255 0.106163
221.6 1.24872 0.105909
221.7 1.24489 0.105656
221.8 1.24106 0.105404
221.9 1.23723 0.105153
222.0 1.23340 0.104902
222.1 1.22957 0.104652
222.2 1.22574 0.104403
222.3 1.22191 0.104155
222.4 1.21808 0.103907
222.5 1.21425 0.103661
222.6 1.21042 0.103415
222.7 1.20659 0.103169
222.8 1.20276 0.102925
222.9 1.19893 0.102681
223.0 1.19510 0.102438
223.1 1.19127 0.102196
223.2 1.18744 0.101955
223.3 1.18361 0.101714
223.4 1.17978 0.101474
223.5 1.17595 0.101235
223.6 1.17212 0.100997
223.7 1.16829 0.100759
223.8 1.16446 0.100522
223.9 1.16063 0.100286
224.0 1.15680 0.100050
224.1 1.15297 0.0998155
224.2 1.14914 0.0995814
224.3 1.14531 0.0993481
224.4 1.14148 0.0991155
224.5 1.13765 0.0988835
224.6 1.13382 0.0986524
224.7 1.12999 0.0984220
224.8 1.12616 0.0981921
224.9 1.12233 0.0979631
225.0 1.11850 0.0977348
225.1 1.11467 0.0975070
225.2 1.11084 0.0972801
225.3 1.10701 0.0970539
225.4 1.10318 0.0968283
225.5 1.09935 0.0966034
225.6 1.09552 0.0963792
225.7 1.09169 0.0961556
225.8 1.08786 0.0959328
225.9 1.08403 0.0957106
226.0 1.08020 0.0954892
226.1 1.07637 0.0952684
226.2 1.07254 0.0950482
226.3 1.06871 0.0948287
226.4 1.06488 0.0946100
226.5 1.06105 0.0943917
226.6 1.05722 0.0941743
226.7 1.05339 0.0939575
226.8 1.04956 0.0937413
226.9 1.04573 0.0935258
227.0 1.04190 0.0933109
227.1 1.03807 0.0930966
227.2 1.03424 0.0928831
227.3 1.03041 0.0926702
227.4 1.02658 0.0924579
227.5 1.02275 0.0922462
227.6 1.01892 0.0920352
227.7 1.01509 0.0918248
227.8 1.01126 0.0916151
227.9 1.00743 0.0914060
228.0 1.00360 0.0911974
228.1 0.999770 0.0909896
228.2 0.995940 0.0907824
228.3 0.992110 0.0905757
228.4 0.988280 0.0903697
228.5 0.984450 0.0901643
228.6 0.980620 0.0899595
228.7 0.976790 0.0897553
228.8 0.972960 0.0895518
228.9 0.969130 0.0893488
229.0 0.965300 0.0891464
229.1 0.961470 0.0889447
229.2 0.957640 0.0887435
229.3 0.953810 0.0885430
229.4 0.949980 0.0883430
229.5 0.946150 0.0881436
229.6 0.942320 0.0879448
229.7 0.938490 0.0877467
229.8 0.934660 0.0875490
229.9 0.930830 0.0873520
230.0 0.927000 0.0871556
230.1 0.924930 0.0869596
230.2 0.922860 0.0867644
230.3 0.920790 0.0865697
230.4 0.918720 0.0863755
230.5 0.916650 0.0861819
230.6 0.914580 0.0859890
230.7 0.912510 0.0857965
230.8 0.910440 0.0856046
230.9 0.908370 0.0854134
231.0 0.906300 0.0852227
231.1 0.904230 0.0850324
231.2 0.902160 0.0848428
231.3 0.900090 0.0846537
231.4 0.898020 0.0844652
231.5 0.895950 0.0842772
231.6 0.893880 0.0840898
231.7 0.891810 0.0839029
231.8 0.889740 0.0837166
231.9 0.887670 0.0835308
232.0 0.885600 0.0833455
232.1 0.883530 0.0831608
232.2 0.881460 0.0829767
232.3 0.879390 0.0827930
232.4 0.877320 0.0826099
232.5 0.875250 0.0824273
232.6 0.873180 0.0822453
232.7 0.871110 0.0820637
232.8 0.869040 0.0818827
232.9 0.866970 0.0817023
233.0 0.864900 0.0815223
233.1 0.862830 0.0813429
233.2 0.860760 0.0811640
233.3 0.858690 0.0809855
233.4 0.856620 0.0808077
233.5 0.854550 0.0806303
233.6 0.852480 0.0804534
233.7 0.850410 0.0802771
233.8 0.848340 0.0801012
233.9 0.846270 0.0799259
234.0 0.844200 0.0797510
234.1 0.842130 0.0795767
234.2 0.840060 0.0794029
234.3 0.837990 0.0792295
234.4 0.835920 0.0790566
234.5 0.833850 0.0788843
234.6 0.831780 0.0787124
234.7 0.829710 0.0785410
234.8 0.827640 0.0783702
234.9 0.825570 0.0781998
235.0 0.823500 0.0780298
235.1 0.821430 0.0778604
235.2 0.819360 0.0776915
235.3 0.817290 0.0775230
235.4 0.815220 0.0773550
235.5 0.813150 0.0771875
235.6 0.811080 0.0770205
235.7 0.809010 0.0768539
235.8 0.806940 0.0766878
235.9 0.804870 0.0765222
236.0 0.802800 0.0763570
236.1 0.800730 0.0761923
236.2 0.798660 0.0760281
236.3 0.796590 0.0758643
236.4 0.794520 0.0757011
236.5 0.792450 0.0755382
236.6 0.790380 0.0753759
236.7 0.788310 0.0752139
236.8 0.786240 0.0750525
236.9 0.784170 0.0748915
237.0 0.782100 0.0747308
237.1 0.780030 0.0745707
237.2 0.777960 0.0744111
237.3 0.775890 0.0742519
237.4 0.773820 0.0740931
237.5 0.771750 0.0739348
237.6 0.769680 0.0737769
237.7 0.767610 0.0736194
237.8 0.765540 0.0734624
237.9 0.763470 0.0733059
238.0 0.761400 0.0731498
238.1 0.759330 0.0729940
238.2 0.757260 0.0728388
238.3 0.755190 0.0726840
238.4 0.753120 0.0725296
238.5 0.751050 0.0723756
238.6 0.748980 0.0722221
238.7 0.746910 0.0720690
238.8 0.744840 0.0719163
238.9 0.742770 0.0717640
239.0 0.740700 0.0716122
239.1 0.738630 0.0714608
239.2 0.736560 0.0713098
239.3 0.734490 0.0711592
239.4 0.732420 0.0710090
239.5 0.730350 0.0708592
239.6 0.728280 0.0707099
239.7 0.726210 0.0705610
239.8 0.724140 0.0704125
239.9 0.722070 0.0702643
240.0 0.720000 0.0701166
240.1 0.718390 0.0699693
240.2 0.716780 0.0698225
240.3 0.715170 0.0696759
240.4 0.713560 0.0695298
240.5 0.711950 0.0693842
240.6 0.710340 0.0692388
240.7 0.708730 0.0690940
240.8 0.707120 0.0689495
240.9 0.705510 0.0688054
241.0 0.703900 0.0686617
241.1 0.702290 0.0685183
241.2 0.700680 0.0683754
241.3 0.699070 0.0682329
241.4 0.697460 0.0680907
241.5 0.695850 0.0679490
241.6 0.694240 0.0678076
241.7 0.692630 0.0676667
241.8 0.691020 0.0675260
241.9 0.689410 0.0673858
242.0 0.687800 0.0672459
242.1 0.686190 0.0671064
242.2 0.684580 0.0669674
242.3 0.682970 0.0668287
242.4 0.681360 0.0666904
242.5 0.679750 0.0665524
