4, channel 4 SRF extracted from AHI-8_SpectralResponsivity_Data.xlsx (release Sept 2013)
Number of data points:
1336
Wavenumber (cm-1)   Filter response
    11217.000000       0.000790
    11218.000000       0.000842
    11219.000000       0.000898
    11220.000000       0.000959
    11221.000000       0.001024
    11222.000000       0.001092
    11223.000000       0.001164
    11224.000000       0.001246
    11225.000000       0.001356
    11226.000000       0.001491
    11227.000000       0.001647
    11228.000000       0.001820
    11229.000000       0.002005
    11230.000000       0.002197
    11231.000000       0.002392
    11232.000000       0.002585
    11233.000000       0.002773
    11234.000000       0.002950
    11235.000000       0.003112
    11236.000000       0.003254
    11237.000000       0.003382
    11238.000000       0.003502
    11239.000000       0.003616
    11240.000000       0.003726
    11241.000000       0.003831
    11242.000000       0.003935
    11243.000000       0.004037
    11244.000000       0.004140
    11245.000000       0.004244
    11246.000000       0.004352
    11247.000000       0.004463
    11248.000000       0.004580
    11249.000000       0.004703
    11250.000000       0.004824
    11251.000000       0.004945
    11252.000000       0.005065
    11253.000000       0.005187
    11254.000000       0.005311
    11255.000000       0.005440
    11256.000000       0.005575
    11257.000000       0.005717
    11258.000000       0.005868
    11259.000000       0.006029
    11260.000000       0.006202
    11261.000000       0.006387
    11262.000000       0.006591
    11263.000000       0.006822
    11264.000000       0.007079
    11265.000000       0.007359
    11266.000000       0.007661
    11267.000000       0.007981
    11268.000000       0.008319
    11269.000000       0.008671
    11270.000000       0.009035
    11271.000000       0.009410
    11272.000000       0.009792
    11273.000000       0.010181
    11274.000000       0.010573
    11275.000000       0.010978
    11276.000000       0.011405
    11277.000000       0.011853
    11278.000000       0.012318
    11279.000000       0.012801
    11280.000000       0.013299
    11281.000000       0.013811
    11282.000000       0.014335
    11283.000000       0.014870
    11284.000000       0.015414
    11285.000000       0.015965
    11286.000000       0.016523
    11287.000000       0.017085
    11288.000000       0.017662
    11289.000000       0.018256
    11290.000000       0.018865
    11291.000000       0.019489
    11292.000000       0.020125
    11293.000000       0.020773
    11294.000000       0.021430
    11295.000000       0.022096
    11296.000000       0.022770
    11297.000000       0.023449
    11298.000000       0.024132
    11299.000000       0.024819
    11300.000000       0.025506
    11301.000000       0.026193
    11302.000000       0.026881
    11303.000000       0.027572
    11304.000000       0.028270
    11305.000000       0.028976
    11306.000000       0.029694
    11307.000000       0.030425
    11308.000000       0.031173
    11309.000000       0.031939
    11310.000000       0.032727
    11311.000000       0.033539
    11312.000000       0.034378
    11313.000000       0.035245
    11314.000000       0.036141
    11315.000000       0.037066
    11316.000000       0.038019
    11317.000000       0.038998
    11318.000000       0.040002
    11319.000000       0.041031
    11320.000000       0.042084
    11321.000000       0.043159
    11322.000000       0.044256
    11323.000000       0.045374
    11324.000000       0.046512
    11325.000000       0.047669
    11326.000000       0.048839
    11327.000000       0.050020
    11328.000000       0.051218
    11329.000000       0.052437
    11330.000000       0.053684
    11331.000000       0.054964
    11332.000000       0.056282
    11333.000000       0.057644
    11334.000000       0.059054
    11335.000000       0.060519
    11336.000000       0.062044
